17:07:00:010 [02332] | INFO  | Initializing crosire's ReShade version '4.9.1.1003' (64-bit) built on '2021-01-09 21:12:36' loaded from "C:\Games\Kingdom Hearts III and Re Mind\KINGDOM HEARTS III\Binaries\Win64\dxgi.dll" into "C:\Games\Kingdom Hearts III and Re Mind\KINGDOM HEARTS III\Binaries\Win64\KINGDOM HEARTS III.exe" ...
17:07:00:039 [02332] | INFO  | Registering hooks for "user32.dll" ...
17:07:00:052 [02332] | INFO  | > Libraries loaded.
17:07:00:052 [02332] | INFO  | > Found 14 match(es). Installing ...
17:07:00:082 [02332] | INFO  | Registering hooks for "ws2_32.dll" ...
17:07:00:095 [02332] | INFO  | > Libraries loaded.
17:07:00:096 [02332] | INFO  | > Found 8 match(es). Installing ...
17:07:00:125 [02332] | INFO  | Registering hooks for "C:\WINDOWS\system32\d2d1.dll" ...
17:07:00:139 [02332] | INFO  | > Delayed.
17:07:00:140 [02332] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d9.dll" ...
17:07:00:140 [02332] | INFO  | > Libraries loaded.
17:07:00:140 [02332] | INFO  | > Found 9 match(es). Installing ...
17:07:00:169 [02332] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10.dll" ...
17:07:00:169 [02332] | INFO  | > Delayed.
17:07:00:169 [02332] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10_1.dll" ...
17:07:00:170 [02332] | INFO  | > Delayed.
17:07:00:170 [02332] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d11.dll" ...
17:07:00:170 [02332] | INFO  | > Libraries loaded.
17:07:00:170 [02332] | INFO  | > Found 2 match(es). Installing ...
17:07:00:198 [02332] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d12.dll" ...
17:07:00:206 [02332] | INFO  | > Delayed.
17:07:00:206 [02332] | INFO  | Registering hooks for "C:\WINDOWS\system32\dxgi.dll" ...
17:07:00:206 [02332] | INFO  | > Delayed until first call to an exported function.
17:07:00:207 [02332] | INFO  | Registering hooks for "C:\WINDOWS\system32\opengl32.dll" ...
17:07:00:207 [02332] | INFO  | > Libraries loaded.
17:07:00:207 [02332] | INFO  | > Found 360 match(es). Installing ...
17:07:00:242 [02332] | INFO  | Initialized.
17:07:00:312 [02332] | INFO  | Exiting ...
17:07:00:312 [02332] | INFO  | Uninstalling 397 hook(s) ...
17:07:01:396 [02332] | INFO  | Finished exiting.
